geography_level,geography_id,geography_name,statistical_population_available,statistical_household_available,resident_total_raw,resident_total,resident_total_quality_flag,private_households_total_raw,private_households_total,private_households_total_quality_flag,hh1_raw,hh1,hh1_quality_flag,hh2_raw,hh2,hh2_quality_flag,hh3_raw,hh3,hh3_quality_flag,hh4_raw,hh4,hh4_quality_flag,hh5_raw,hh5,hh5_quality_flag,hh6plus_raw,hh6plus,hh6plus_quality_flag,private_person_lower_bound_from_hhsize,resident_minus_private_lower_bound,residual_sign,residual_valid_as_exact_nonprivate_count,residual_interpretation,n_disclosure_adjusted_zero_cells_relevant
PLR,01100101,Stülerstraße,True,True,2.875,2875,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.947,1947,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.409,1409,NORMAL_DISCLOSURE_CONTROLLED_COUNT,328,328,NORMAL_DISCLOSURE_CONTROLLED_COUNT,111,111,NORMAL_DISCLOSURE_CONTROLLED_COUNT,53,53,NORMAL_DISCLOSURE_CONTROLLED_COUNT,23,23,NORMAL_DISCLOSURE_CONTROLLED_COUNT,18,18,NORMAL_DISCLOSURE_CONTROLLED_COUNT,2833,42,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01100102,Großer Tiergarten,True,True,1.688,1688,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.045,1045,NORMAL_DISCLOSURE_CONTROLLED_COUNT,713,713,NORMAL_DISCLOSURE_CONTROLLED_COUNT,190,190,NORMAL_DISCLOSURE_CONTROLLED_COUNT,73,73,NORMAL_DISCLOSURE_CONTROLLED_COUNT,49,49,NORMAL_DISCLOSURE_CONTROLLED_COUNT,13,13,NORMAL_DISCLOSURE_CONTROLLED_COUNT,9,9,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1627,61,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01100103,Lützowstraße,True,True,4.825,4825,NORMAL_DISCLOSURE_CONTROLLED_COUNT,2.814,2814,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.855,1855,NORMAL_DISCLOSURE_CONTROLLED_COUNT,531,531,NORMAL_DISCLOSURE_CONTROLLED_COUNT,210,210,NORMAL_DISCLOSURE_CONTROLLED_COUNT,131,131,NORMAL_DISCLOSURE_CONTROLLED_COUNT,39,39,NORMAL_DISCLOSURE_CONTROLLED_COUNT,51,51,NORMAL_DISCLOSURE_CONTROLLED_COUNT,4572,253,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01100104,Körnerstraße,True,True,4.365,4365,NORMAL_DISCLOSURE_CONTROLLED_COUNT,2.399,2399,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.519,1519,NORMAL_DISCLOSURE_CONTROLLED_COUNT,403,403,NORMAL_DISCLOSURE_CONTROLLED_COUNT,187,187,NORMAL_DISCLOSURE_CONTROLLED_COUNT,156,156,NORMAL_DISCLOSURE_CONTROLLED_COUNT,63,63,NORMAL_DISCLOSURE_CONTROLLED_COUNT,74,74,NORMAL_DISCLOSURE_CONTROLLED_COUNT,4269,96,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01100205,Wilhelmstraße,True,True,2.367,2367,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.294,1294,NORMAL_DISCLOSURE_CONTROLLED_COUNT,814,814,NORMAL_DISCLOSURE_CONTROLLED_COUNT,253,253,NORMAL_DISCLOSURE_CONTROLLED_COUNT,117,117,NORMAL_DISCLOSURE_CONTROLLED_COUNT,58,58,NORMAL_DISCLOSURE_CONTROLLED_COUNT,21,21,NORMAL_DISCLOSURE_CONTROLLED_COUNT,29,29,NORMAL_DISCLOSURE_CONTROLLED_COUNT,2182,185,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01100206,Unter den Linden,True,True,1.882,1882,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.212,1212,NORMAL_DISCLOSURE_CONTROLLED_COUNT,840,840,NORMAL_DISCLOSURE_CONTROLLED_COUNT,210,210,NORMAL_DISCLOSURE_CONTROLLED_COUNT,79,79,NORMAL_DISCLOSURE_CONTROLLED_COUNT,44,44,NORMAL_DISCLOSURE_CONTROLLED_COUNT,22,22,NORMAL_DISCLOSURE_CONTROLLED_COUNT,18,18,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1891,-9,NEGATIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01100207,Leipziger Straße,True,True,7.706,7706,NORMAL_DISCLOSURE_CONTROLLED_COUNT,4.405,4405,NORMAL_DISCLOSURE_CONTROLLED_COUNT,2.713,2713,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.009,1009,NORMAL_DISCLOSURE_CONTROLLED_COUNT,370,370,NORMAL_DISCLOSURE_CONTROLLED_COUNT,186,186,NORMAL_DISCLOSURE_CONTROLLED_COUNT,51,51,NORMAL_DISCLOSURE_CONTROLLED_COUNT,75,75,NORMAL_DISCLOSURE_CONTROLLED_COUNT,7290,416,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01100308,Charitéviertel,True,True,7.146,7146,NORMAL_DISCLOSURE_CONTROLLED_COUNT,4.681,4681,NORMAL_DISCLOSURE_CONTROLLED_COUNT,3.258,3258,NORMAL_DISCLOSURE_CONTROLLED_COUNT,744,744,NORMAL_DISCLOSURE_CONTROLLED_COUNT,394,394,NORMAL_DISCLOSURE_CONTROLLED_COUNT,200,200,NORMAL_DISCLOSURE_CONTROLLED_COUNT,42,42,NORMAL_DISCLOSURE_CONTROLLED_COUNT,41,41,NORMAL_DISCLOSURE_CONTROLLED_COUNT,7184,-38,NEGATIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01100309,Oranienburger Straße,True,True,11.963,11963,NORMAL_DISCLOSURE_CONTROLLED_COUNT,7.178,7178,NORMAL_DISCLOSURE_CONTROLLED_COUNT,4.679,4679,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.218,1218,NORMAL_DISCLOSURE_CONTROLLED_COUNT,668,668,NORMAL_DISCLOSURE_CONTROLLED_COUNT,370,370,NORMAL_DISCLOSURE_CONTROLLED_COUNT,127,127,NORMAL_DISCLOSURE_CONTROLLED_COUNT,118,118,NORMAL_DISCLOSURE_CONTROLLED_COUNT,11942,21,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01100310,Alexanderplatz-viertel,True,True,9.098,9098,NORMAL_DISCLOSURE_CONTROLLED_COUNT,5.958,5958,NORMAL_DISCLOSURE_CONTROLLED_COUNT,4.215,4215,NORMAL_DISCLOSURE_CONTROLLED_COUNT,974,974,NORMAL_DISCLOSURE_CONTROLLED_COUNT,416,416,NORMAL_DISCLOSURE_CONTROLLED_COUNT,221,221,NORMAL_DISCLOSURE_CONTROLLED_COUNT,65,65,NORMAL_DISCLOSURE_CONTROLLED_COUNT,63,63,NORMAL_DISCLOSURE_CONTROLLED_COUNT,8998,100,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
