metric_id,dimension,dataset,category,share
M2-COUNT-02,trip_count,REF_TRAIN_CORE_STRICT_COUNT,0,0.12845690654093578
M2-COUNT-02,trip_count,REF_TRAIN_CORE_STRICT_COUNT,1,0.0474746254211093
M2-COUNT-02,trip_count,REF_TRAIN_CORE_STRICT_COUNT,10,0.0055054227110174015
M2-COUNT-02,trip_count,REF_TRAIN_CORE_STRICT_COUNT,11,0.0013139105577939336
M2-COUNT-02,trip_count,REF_TRAIN_CORE_STRICT_COUNT,12_PLUS,0.01120487384799226
M2-COUNT-02,trip_count,REF_TRAIN_CORE_STRICT_COUNT,2,0.3065328618426596
M2-COUNT-02,trip_count,REF_TRAIN_CORE_STRICT_COUNT,3,0.12579723765480041
M2-COUNT-02,trip_count,REF_TRAIN_CORE_STRICT_COUNT,4,0.17630565398585082
M2-COUNT-02,trip_count,REF_TRAIN_CORE_STRICT_COUNT,5,0.08878960944567005
M2-COUNT-02,trip_count,REF_TRAIN_CORE_STRICT_COUNT,6,0.0599664284310435
M2-COUNT-02,trip_count,REF_TRAIN_CORE_STRICT_COUNT,7,0.0282276155083424
M2-COUNT-02,trip_count,REF_TRAIN_CORE_STRICT_COUNT,8,0.01655565290220873
M2-COUNT-02,trip_count,REF_TRAIN_CORE_STRICT_COUNT,9,0.0038692011505758943
M2-COUNT-02,trip_count,REF_FULLDAY_POOL,0,0.1611922781403572
M2-COUNT-02,trip_count,REF_FULLDAY_POOL,1,0.03266082245143134
M2-COUNT-02,trip_count,REF_FULLDAY_POOL,10,0.0022578306243129518
M2-COUNT-02,trip_count,REF_FULLDAY_POOL,11,0.0004819225190166661
M2-COUNT-02,trip_count,REF_FULLDAY_POOL,2,0.31511314716671873
M2-COUNT-02,trip_count,REF_FULLDAY_POOL,3,0.11995314519990984
M2-COUNT-02,trip_count,REF_FULLDAY_POOL,4,0.18214072668580933
M2-COUNT-02,trip_count,REF_FULLDAY_POOL,5,0.08992703747060846
M2-COUNT-02,trip_count,REF_FULLDAY_POOL,6,0.052800715569779014
M2-COUNT-02,trip_count,REF_FULLDAY_POOL,7,0.026508844976231558
M2-COUNT-02,trip_count,REF_FULLDAY_POOL,8,0.014808948326074597
M2-COUNT-02,trip_count,REF_FULLDAY_POOL,9,0.002154580869750358
M2-COUNT-02,trip_count,D_REPLAY_EXACT_V1,0,0.12154742799222908
M2-COUNT-02,trip_count,D_REPLAY_EXACT_V1,1,0.052610621070795074
M2-COUNT-02,trip_count,D_REPLAY_EXACT_V1,10,0.006793527445609547
M2-COUNT-02,trip_count,D_REPLAY_EXACT_V1,11,0.0018703317123791826
M2-COUNT-02,trip_count,D_REPLAY_EXACT_V1,12_PLUS,0.009991191340967504
M2-COUNT-02,trip_count,D_REPLAY_EXACT_V1,2,0.2851954194973031
M2-COUNT-02,trip_count,D_REPLAY_EXACT_V1,3,0.12924595465350597
M2-COUNT-02,trip_count,D_REPLAY_EXACT_V1,4,0.18396824056085817
M2-COUNT-02,trip_count,D_REPLAY_EXACT_V1,5,0.09226165337323375
M2-COUNT-02,trip_count,D_REPLAY_EXACT_V1,6,0.058354349426230495
M2-COUNT-02,trip_count,D_REPLAY_EXACT_V1,7,0.03306263801238039
M2-COUNT-02,trip_count,D_REPLAY_EXACT_V1,8,0.018522317280658358
M2-COUNT-02,trip_count,D_REPLAY_EXACT_V1,9,0.006576327633849384
M2-COUNT-02,trip_count,D_MATCH_FULLDAY_V1,0,0.15574
M2-COUNT-02,trip_count,D_MATCH_FULLDAY_V1,1,0.03421
M2-COUNT-02,trip_count,D_MATCH_FULLDAY_V1,10,0.00222
M2-COUNT-02,trip_count,D_MATCH_FULLDAY_V1,11,0.00044
M2-COUNT-02,trip_count,D_MATCH_FULLDAY_V1,2,0.30333
M2-COUNT-02,trip_count,D_MATCH_FULLDAY_V1,3,0.12827
M2-COUNT-02,trip_count,D_MATCH_FULLDAY_V1,4,0.18445
M2-COUNT-02,trip_count,D_MATCH_FULLDAY_V1,5,0.08896
M2-COUNT-02,trip_count,D_MATCH_FULLDAY_V1,6,0.05594
M2-COUNT-02,trip_count,D_MATCH_FULLDAY_V1,7,0.03066
M2-COUNT-02,trip_count,D_MATCH_FULLDAY_V1,8,0.01252
M2-COUNT-02,trip_count,D_MATCH_FULLDAY_V1,9,0.00326
M2-CHAIN-01,mobile_chain_length,REF_TRAIN_CORE_STRICT_COUNT_MOBILE,1,0.05447191972193529
M2-CHAIN-01,mobile_chain_length,REF_TRAIN_CORE_STRICT_COUNT_MOBILE,10,0.006316868038236581
M2-CHAIN-01,mobile_chain_length,REF_TRAIN_CORE_STRICT_COUNT_MOBILE,11,0.001507568091187733
M2-CHAIN-01,mobile_chain_length,REF_TRAIN_CORE_STRICT_COUNT_MOBILE,12_PLUS,0.012856362389978074
M2-CHAIN-01,mobile_chain_length,REF_TRAIN_CORE_STRICT_COUNT_MOBILE,2,0.35171280013941986
M2-CHAIN-01,mobile_chain_length,REF_TRAIN_CORE_STRICT_COUNT_MOBILE,3,0.1443385170497126
M2-CHAIN-01,mobile_chain_length,REF_TRAIN_CORE_STRICT_COUNT_MOBILE,4,0.20229137871555145
M2-CHAIN-01,mobile_chain_length,REF_TRAIN_CORE_STRICT_COUNT_MOBILE,5,0.10187632730043591
M2-CHAIN-01,mobile_chain_length,REF_TRAIN_CORE_STRICT_COUNT_MOBILE,6,0.06880489201405171
M2-CHAIN-01,mobile_chain_length,REF_TRAIN_CORE_STRICT_COUNT_MOBILE,7,0.03238808926396274
M2-CHAIN-01,mobile_chain_length,REF_TRAIN_CORE_STRICT_COUNT_MOBILE,8,0.018995793812674314
M2-CHAIN-01,mobile_chain_length,REF_TRAIN_CORE_STRICT_COUNT_MOBILE,9,0.004439483462853724
M2-CHAIN-01,mobile_chain_length,REF_FULLDAY_POOL_MOBILE,1,0.03893719812094966
M2-CHAIN-01,mobile_chain_length,REF_FULLDAY_POOL_MOBILE,10,0.002691714162224598
M2-CHAIN-01,mobile_chain_length,REF_FULLDAY_POOL_MOBILE,11,0.0005745327641336448
M2-CHAIN-01,mobile_chain_length,REF_FULLDAY_POOL_MOBILE,2,0.37566791405795674
M2-CHAIN-01,mobile_chain_length,REF_FULLDAY_POOL_MOBILE,3,0.14300434065386625
M2-CHAIN-01,mobile_chain_length,REF_FULLDAY_POOL_MOBILE,4,0.21714240574943927
M2-CHAIN-01,mobile_chain_length,REF_FULLDAY_POOL_MOBILE,5,0.10720816598020769
M2-CHAIN-01,mobile_chain_length,REF_FULLDAY_POOL_MOBILE,6,0.0629473408431666
M2-CHAIN-01,mobile_chain_length,REF_FULLDAY_POOL_MOBILE,7,0.031603005415187714
M2-CHAIN-01,mobile_chain_length,REF_FULLDAY_POOL_MOBILE,8,0.01765475917799499
M2-CHAIN-01,mobile_chain_length,REF_FULLDAY_POOL_MOBILE,9,0.0025686230748730313
M2-CHAIN-01,mobile_chain_length,D_REPLAY_EXACT_V1,1,0.05989010989010989
M2-CHAIN-01,mobile_chain_length,D_REPLAY_EXACT_V1,10,0.007733516483516483
M2-CHAIN-01,mobile_chain_length,D_REPLAY_EXACT_V1,11,0.002129120879120879
M2-CHAIN-01,mobile_chain_length,D_REPLAY_EXACT_V1,12_PLUS,0.011373626373626374
M2-CHAIN-01,mobile_chain_length,D_REPLAY_EXACT_V1,2,0.3246565934065934
M2-CHAIN-01,mobile_chain_length,D_REPLAY_EXACT_V1,3,0.1471291208791209
M2-CHAIN-01,mobile_chain_length,D_REPLAY_EXACT_V1,4,0.20942307692307693
M2-CHAIN-01,mobile_chain_length,D_REPLAY_EXACT_V1,5,0.10502747252747252
M2-CHAIN-01,mobile_chain_length,D_REPLAY_EXACT_V1,6,0.06642857142857143
M2-CHAIN-01,mobile_chain_length,D_REPLAY_EXACT_V1,7,0.037637362637362635
M2-CHAIN-01,mobile_chain_length,D_REPLAY_EXACT_V1,8,0.021085164835164837
M2-CHAIN-01,mobile_chain_length,D_REPLAY_EXACT_V1,9,0.0074862637362637366
M2-CHAIN-01,mobile_chain_length,D_MATCH_FULLDAY_V1,1,0.040520692677611166
M2-CHAIN-01,mobile_chain_length,D_MATCH_FULLDAY_V1,10,0.002629521711321157
M2-CHAIN-01,mobile_chain_length,D_MATCH_FULLDAY_V1,11,0.000521166465306896
M2-CHAIN-01,mobile_chain_length,D_MATCH_FULLDAY_V1,2,0.3592850543671381
M2-CHAIN-01,mobile_chain_length,D_MATCH_FULLDAY_V1,3,0.1519318693293535
M2-CHAIN-01,mobile_chain_length,D_MATCH_FULLDAY_V1,4,0.21847535119512945
M2-CHAIN-01,mobile_chain_length,D_MATCH_FULLDAY_V1,5,0.1053703835311397
M2-CHAIN-01,mobile_chain_length,D_MATCH_FULLDAY_V1,6,0.06625920924833582
M2-CHAIN-01,mobile_chain_length,D_MATCH_FULLDAY_V1,7,0.03631582687797598
M2-CHAIN-01,mobile_chain_length,D_MATCH_FULLDAY_V1,8,0.014829554876459858
M2-CHAIN-01,mobile_chain_length,D_MATCH_FULLDAY_V1,9,0.0038613697202283656
M2-PURP-01,purpose,REF_TRAIN_DIRECT_PURPOSE,BUSINESS,0.024379958365732042
M2-PURP-01,purpose,REF_TRAIN_DIRECT_PURPOSE,EDUCATION,0.04373036342250086
M2-PURP-01,purpose,REF_TRAIN_DIRECT_PURPOSE,ESCORT,0.06475765944504155
M2-PURP-01,purpose,REF_TRAIN_DIRECT_PURPOSE,LEISURE,0.1662890663439095
M2-PURP-01,purpose,REF_TRAIN_DIRECT_PURPOSE,OTHER,0.0332668910852615
M2-PURP-01,purpose,REF_TRAIN_DIRECT_PURPOSE,PRIVATE_ERRAND,0.1001578433518731
M2-PURP-01,purpose,REF_TRAIN_DIRECT_PURPOSE,RETURN_HOME,0.3538363845585467
M2-PURP-01,purpose,REF_TRAIN_DIRECT_PURPOSE,RETURN_PREVIOUS,0.014442680632817746
M2-PURP-01,purpose,REF_TRAIN_DIRECT_PURPOSE,SHOPPING,0.11486792648912371
M2-PURP-01,purpose,REF_TRAIN_DIRECT_PURPOSE,WORK_COMMUTE,0.08427122630519335
M2-PURP-01,purpose,REF_FULLDAY_POOL_TRIPS,BUSINESS,0.009456813782676142
M2-PURP-01,purpose,REF_FULLDAY_POOL_TRIPS,EDUCATION,0.05085334011984738
M2-PURP-01,purpose,REF_FULLDAY_POOL_TRIPS,ESCORT,0.058503128143000634
M2-PURP-01,purpose,REF_FULLDAY_POOL_TRIPS,LEISURE,0.16980022363309127
M2-PURP-01,purpose,REF_FULLDAY_POOL_TRIPS,OTHER,0.030734785115420243
M2-PURP-01,purpose,REF_FULLDAY_POOL_TRIPS,PRIVATE_ERRAND,0.10542429707210844
M2-PURP-01,purpose,REF_FULLDAY_POOL_TRIPS,RETURN_HOME,0.3679139699312893
M2-PURP-01,purpose,REF_FULLDAY_POOL_TRIPS,RETURN_PREVIOUS,0.009585924283528738
M2-PURP-01,purpose,REF_FULLDAY_POOL_TRIPS,SHOPPING,0.1198282916913473
M2-PURP-01,purpose,REF_FULLDAY_POOL_TRIPS,WORK_COMMUTE,0.07789922622769045
M2-PURP-01,purpose,D_REPLAY_EXACT_V1,BUSINESS,0.011472973459428049
M2-PURP-01,purpose,D_REPLAY_EXACT_V1,EDUCATION,0.04352633229968579
M2-PURP-01,purpose,D_REPLAY_EXACT_V1,ESCORT,0.05121954982335426
M2-PURP-01,purpose,D_REPLAY_EXACT_V1,LEISURE,0.17086039587158086
M2-PURP-01,purpose,D_REPLAY_EXACT_V1,OTHER,0.02840216603156482
M2-PURP-01,purpose,D_REPLAY_EXACT_V1,PRIVATE_ERRAND,0.11351609867477129
M2-PURP-01,purpose,D_REPLAY_EXACT_V1,RETURN_HOME,0.3615297983615915
M2-PURP-01,purpose,D_REPLAY_EXACT_V1,RETURN_PREVIOUS,0.009981641185454882
M2-PURP-01,purpose,D_REPLAY_EXACT_V1,SHOPPING,0.12560617514411926
M2-PURP-01,purpose,D_REPLAY_EXACT_V1,WORK_COMMUTE,0.08388486914844927
M2-PURP-01,purpose,D_MATCH_FULLDAY_V1,BUSINESS,0.010510860765399234
M2-PURP-01,purpose,D_MATCH_FULLDAY_V1,EDUCATION,0.04431439274393842
M2-PURP-01,purpose,D_MATCH_FULLDAY_V1,ESCORT,0.05497276232556225
M2-PURP-01,purpose,D_MATCH_FULLDAY_V1,LEISURE,0.17338803737804795
M2-PURP-01,purpose,D_MATCH_FULLDAY_V1,OTHER,0.02702841774496755
M2-PURP-01,purpose,D_MATCH_FULLDAY_V1,PRIVATE_ERRAND,0.10160270044046818
M2-PURP-01,purpose,D_MATCH_FULLDAY_V1,RETURN_HOME,0.364923089589308
M2-PURP-01,purpose,D_MATCH_FULLDAY_V1,RETURN_PREVIOUS,0.009275903234216556
M2-PURP-01,purpose,D_MATCH_FULLDAY_V1,SHOPPING,0.12282338735129053
M2-PURP-01,purpose,D_MATCH_FULLDAY_V1,WORK_COMMUTE,0.09116044842680132
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,0,0.0012349448802269538
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,1,0.0010886410498179646
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,10,0.06005760478886564
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,11,0.05920064751508442
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,12,0.07154127065583972
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,13,0.06850122957753194
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,14,0.07595309936595182
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,15,0.09699081853586569
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,16,0.10114436923799061
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,17,0.06424539740894698
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,18,0.062204936857606724
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,19,0.04372486739116331
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,2,0.00033358609628851766
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,20,0.022686000060868974
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,21,0.02161376022237842
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,22,0.013470693631321447
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,23,0.009243791527376342
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,3,0.00036806519654823666
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,4,0.0035138077409000747
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,5,0.009834839221821682
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,6,0.021032604483027965
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,7,0.06452573803054863
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,8,0.06985564958388193
M2-TIME-01,departure_hour,REF_TRAIN_DIRECT_TIME_VALID,9,0.057633636940146046
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,0,0.0004359910064662804
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,1,0.0012843591725200155
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,10,0.06159192569038995
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,11,0.05495401790917419
