metric_id,family,variant,reference,statistic,value,reference_value,delta,unit,role,notes
M2-PART-01,Participation,REF_FULLDAY_POOL,REF_TRAIN_BINARY,trip_day_share,0.8388077218596429,0.8792475284865663,-0.04043980662692337,share,DIAGNOSTIC,"Selection-pool diagnostic, not target."
M2-PART-01,Participation,D_REPLAY_EXACT_V1,REF_TRAIN_BINARY,trip_day_share,0.8849996004155678,0.8792475284865663,0.005752071929001512,share,DIAGNOSTIC,Coverage=87591/100000.
M2-PART-01,Participation,D_MATCH_FULLDAY_V1,REF_TRAIN_BINARY,trip_day_share,0.84426,0.8792475284865663,-0.03498752848656628,share,DIAGNOSTIC,Conditioned on full-day donor pool.
M2-COUNT-01,TripCount,REF_FULLDAY_POOL,REF_TRAIN_CORE_STRICT_COUNT,mean_trips_per_person_day,2.869053123121836,3.190172808457594,-0.3211196853357583,trips/person-day,DIAGNOSTIC,Selection-pool diagnostic.
M2-COUNT-01,TripCount,D_REPLAY_EXACT_V1,REF_TRAIN_CORE_STRICT_COUNT,mean_trips_per_person_day,3.261810239764459,3.190172808457594,0.07163743130686484,trips/person-day,DIAGNOSTIC,Coverage=82873/100000.
M2-COUNT-01,TripCount,D_MATCH_FULLDAY_V1,REF_TRAIN_CORE_STRICT_COUNT,mean_trips_per_person_day,2.91508,3.190172808457594,-0.2750928084575941,trips/person-day,DIAGNOSTIC,All 100k matched days.
M2-COUNT-02,TripCount,REF_FULLDAY_POOL,REF_TRAIN_CORE_STRICT_COUNT,TVD,0.04828815764837749,0.0,0.04828815764837749,TVD,DIAGNOSTIC,
M2-COUNT-02,TripCount,D_REPLAY_EXACT_V1,REF_TRAIN_CORE_STRICT_COUNT,TVD,0.03107268240590092,0.0,0.03107268240590092,TVD,DIAGNOSTIC,
M2-COUNT-02,TripCount,D_MATCH_FULLDAY_V1,REF_TRAIN_CORE_STRICT_COUNT,TVD,0.040502976864400575,0.0,0.040502976864400575,TVD,DIAGNOSTIC,
M2-CHAIN-01,Chain,REF_FULLDAY_POOL_MOBILE,REF_TRAIN_CORE_STRICT_COUNT_MOBILE,TVD,0.044137979632196386,0.0,0.044137979632196386,TVD,DIAGNOSTIC,
M2-CHAIN-01,Chain,D_REPLAY_EXACT_V1,REF_TRAIN_CORE_STRICT_COUNT_MOBILE,TVD,0.03091526333465844,0.0,0.03091526333465844,TVD,DIAGNOSTIC,
M2-CHAIN-01,Chain,D_MATCH_FULLDAY_V1,REF_TRAIN_CORE_STRICT_COUNT_MOBILE,TVD,0.038771372831654174,0.0,0.038771372831654174,TVD,DIAGNOSTIC,
M2-PURP-01,Purpose,REF_FULLDAY_POOL_TRIPS,REF_TRAIN_DIRECT_PURPOSE,TVD,0.03493853828172989,0.0,0.03493853828172989,TVD,DIAGNOSTIC,
M2-PURP-01,Purpose,D_REPLAY_EXACT_V1,REF_TRAIN_DIRECT_PURPOSE,TVD,0.036361247308609936,0.0,0.036361247308609936,TVD,DIAGNOSTIC,
