HP_ID,H_ID,P_ID,mobil_diff,P_RBW,P_RBW_ANZ,rbw_trip_count_status,W_ANZWW,additional_trip_count_status,anzwege1,anzwege2,anzwege3,direct_trip_count_observed,additional_undetailed_trip_count,rbw_trip_count_reported,analytic_total_trip_count,direct_wege_row_count,rbw_generated_row_count,wege_row_count,trip_count_fit_tier,chain_coverage_status,P_GEW
1861281,1861280.0,1,6,602,602,NO_OUT_OF_HOME_ACTIVITY_OR_DOMESTIC_TRIPS,803,UNAVAILABLE_NO_TRIP_PROTOCOL,803,803,803,,,,,0,0,0,EXCLUDED_REPORTING_RISK,NO_TRIP_REPORTING_RISK,1.11737020256533
2632351,2632350.0,1,1,404,404,NOT_APPLICABLE_NOT_EMPLOYED,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,2,2,2,2.0,,,2.0,2,0,2,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,0.250020934848989
2632352,2632350.0,2,1,206,206,NOT_OBSERVED_PROXY,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,3,3,3,3.0,,,3.0,3,0,3,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,0.367285508772807
2945351,2945350.0,1,2,1,5,KNOWN_EXACT,802,NOT_APPLICABLE_RBW_ONLY,0,0,5,0.0,,5.0,5.0,0,5,5,CORE_STRICT_COUNT,RBW_ONLY_AGGREGATED_UNTIMED,1.95562947917968
3384741,3384740.0,1,1,404,404,NOT_APPLICABLE_NOT_EMPLOYED,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,6,6,6,6.0,,,6.0,6,0,6,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,2.68311725201542
5013731,5013730.0,1,1,406,406,NOT_OBSERVED_SECONDARY_EMPLOYMENT,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,2,2,2,2.0,,,2.0,2,0,2,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,0.393004284753457
5507551,5507550.0,1,3,1,2,KNOWN_EXACT,99,MISSING_RESPONSE,8,8,10,8.0,,2.0,10.0,8,2,10,ANALYTIC_WITH_COMPONENT_WARNING,MIXED_DIRECT_RBW_ADDITIONAL_UNKNOWN,3.26133427897562
5507552,5507550.0,2,3,1,2,KNOWN_EXACT,807,KNOWN_ZERO_BELOW_PAPI_DETAIL_CAP,7,7,9,7.0,,2.0,9.0,7,2,9,CORE_STRICT_COUNT,MIXED_DIRECT_RBW_UNTIMED,3.1013878734324
5507553,5507550.0,3,1,403,403,NOT_APPLICABLE_UNDER_16,807,KNOWN_ZERO_BELOW_PAPI_DETAIL_CAP,6,6,6,6.0,,,6.0,6,0,6,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,6.80166558467281
5510281,5510280.0,1,1,404,404,NOT_APPLICABLE_NOT_EMPLOYED,808,KNOWN_ZERO_BELOW_CATI_CAWI_DETAIL_CAP,7,7,7,7.0,,,7.0,7,0,7,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,5.32745065509755
