HP_ID,H_ID,P_ID,W_ID,W_RBW,W_ZWECK,canonical_trip_purpose,origin_activity,destination_activity,destination_resolution,transition_observation_eligible,purpose_marginal_eligible,first_origin_status,row_provenance,W_ZWD_raw
15.0,0.0,15.0,1,0,11,EDUCATION,HOME,EDUCATION,DIRECT_FROM_W_ZWECK,True,True,HOME_OBSERVED,DIRECT_TRIP_OBSERVATION,2202.0
15.0,0.0,15.0,2,0,8,RETURN_HOME,EDUCATION,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,2202.0
15.0,0.0,15.0,3,0,10,OTHER,HOME,OTHER,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,2202.0
17.0,0.0,17.0,1,0,11,EDUCATION,UNKNOWN,EDUCATION,DIRECT_FROM_W_ZWECK,False,True,SOURCE_UNKNOWN,DIRECT_TRIP_OBSERVATION,7704.0
17.0,0.0,17.0,2,0,9,RETURN_PREVIOUS,EDUCATION,UNKNOWN,CONTEXT_UNRESOLVED_RETURN,False,True,,DIRECT_TRIP_OBSERVATION,7704.0
17.0,0.0,17.0,3,0,16,EDUCATION,UNKNOWN,EDUCATION,DIRECT_FROM_W_ZWECK,False,True,,DIRECT_TRIP_OBSERVATION,7704.0
2632351.0,2632350.0,1.0,1,0,7,LEISURE,HOME,LEISURE,DIRECT_FROM_W_ZWECK,True,True,HOME_OBSERVED,DIRECT_TRIP_OBSERVATION,712.0
2632351.0,2632350.0,1.0,2,0,8,RETURN_HOME,LEISURE,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,7704.0
2632352.0,2632350.0,2.0,1,0,7,LEISURE,UNKNOWN,LEISURE,DIRECT_FROM_W_ZWECK,False,True,SOURCE_UNKNOWN,DIRECT_TRIP_OBSERVATION,799.0
2632352.0,2632350.0,2.0,2,0,7,LEISURE,LEISURE,LEISURE,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,799.0
2632352.0,2632350.0,2.0,3,0,8,RETURN_HOME,LEISURE,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,7704.0
2945351.0,2945350.0,1.0,101,1,2,BUSINESS,UNKNOWN,BUSINESS,RBW_AGGREGATE_NOT_CHRONOLOGICAL,False,True,,RBW_GENERATED_FROM_AGGREGATE,7704.0
2945351.0,2945350.0,1.0,102,1,2,BUSINESS,UNKNOWN,BUSINESS,RBW_AGGREGATE_NOT_CHRONOLOGICAL,False,True,,RBW_GENERATED_FROM_AGGREGATE,7704.0
2945351.0,2945350.0,1.0,103,1,2,BUSINESS,UNKNOWN,BUSINESS,RBW_AGGREGATE_NOT_CHRONOLOGICAL,False,True,,RBW_GENERATED_FROM_AGGREGATE,7704.0
2945351.0,2945350.0,1.0,104,1,2,BUSINESS,UNKNOWN,BUSINESS,RBW_AGGREGATE_NOT_CHRONOLOGICAL,False,True,,RBW_GENERATED_FROM_AGGREGATE,7704.0
2945351.0,2945350.0,1.0,105,1,2,BUSINESS,UNKNOWN,BUSINESS,RBW_AGGREGATE_NOT_CHRONOLOGICAL,False,True,,RBW_GENERATED_FROM_AGGREGATE,7704.0
3384741.0,3384740.0,1.0,1,0,5,PRIVATE_ERRAND,HOME,PRIVATE_ERRAND,DIRECT_FROM_W_ZWECK,True,True,HOME_OBSERVED,DIRECT_TRIP_OBSERVATION,602.0
3384741.0,3384740.0,1.0,2,0,4,SHOPPING,PRIVATE_ERRAND,SHOPPING,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,503.0
3384741.0,3384740.0,1.0,3,0,5,PRIVATE_ERRAND,SHOPPING,PRIVATE_ERRAND,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,503.0
3384741.0,3384740.0,1.0,4,0,8,RETURN_HOME,PRIVATE_ERRAND,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,7704.0
3384741.0,3384740.0,1.0,5,0,7,LEISURE,HOME,LEISURE,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,720.0
3384741.0,3384740.0,1.0,6,0,8,RETURN_HOME,LEISURE,HOME,DIRECT_FROM_W_ZWECK,True,True,,DIRECT_TRIP_OBSERVATION,7704.0
