HP_ID,n_direct_trips,all_trip_time_valid,all_trip_duration_plausible,start_clock_nondecreasing,arrival_before_next_start,overnight_not_last,n_checkable_adjacent_pairs,n_pair_violations,temporal_sequence_consistent,temporal_quality_reason,trip_count_fit_tier,chain_coverage_status,temporal_sequence_fit_eligible
15,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
17,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
2632351,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
2632352,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
3384741,6,True,True,True,True,False,5,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5013731,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5507551,8,True,True,True,True,False,7,0,True,TEMPORAL_SEQUENCE_VALID,ANALYTIC_WITH_COMPONENT_WARNING,MIXED_DIRECT_RBW_ADDITIONAL_UNKNOWN,False
5507552,7,True,True,True,True,False,6,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,MIXED_DIRECT_RBW_UNTIMED,False
5507553,6,True,True,True,True,False,5,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5510281,7,True,True,True,True,False,6,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5514101,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5520141,5,True,True,True,True,False,4,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5520191,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5520192,6,True,True,True,True,False,5,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5522452,2,False,False,True,True,False,1,0,False,TIME_COMPONENT_MISSING,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,False
5528741,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5528742,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5530651,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5535421,6,True,True,True,True,False,5,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5540101,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5540102,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5540103,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5540351,6,True,True,True,True,False,5,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5540352,7,True,True,True,True,False,6,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5542531,6,True,True,True,True,False,5,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5542532,7,True,True,True,True,False,6,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5542533,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5542534,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5543721,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5544581,1,True,True,True,True,False,0,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5544582,1,True,True,True,True,False,0,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5545491,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,MIXED_DIRECT_RBW_UNTIMED,False
5545492,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5545493,6,True,True,True,True,False,5,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5546991,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5550281,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5550282,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5551851,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5561591,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5561821,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5561822,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5567421,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,ANALYTIC_WITH_COMPONENT_WARNING,DIRECT_ROWS_RBW_COUNT_UNKNOWN,False
5567422,7,True,False,True,False,False,6,1,False,INTRA_TRIP_DURATION_IMPLAUSIBLE,ANALYTIC_WITH_COMPONENT_WARNING,DIRECT_ROWS_RBW_COUNT_UNKNOWN,False
5567423,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5579671,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5579673,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5579674,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5583441,6,True,True,True,True,False,5,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5583442,10,True,True,True,True,False,9,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5589001,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5592701,8,True,True,True,True,False,7,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_ROWS_PLUS_UNDETAILED_TRIPS,False
5600161,5,True,True,True,False,False,4,1,False,INTER_TRIP_OVERLAP_OR_NEXTDAY_CONFLICT,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,False
5602222,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5602223,3,True,False,True,True,False,2,0,False,INTRA_TRIP_DURATION_IMPLAUSIBLE,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,False
5608331,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5608332,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5611481,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5616651,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5619501,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5619502,5,True,True,True,True,False,4,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5626231,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,MIXED_DIRECT_RBW_UNTIMED,False
5626251,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5626252,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5626841,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5629691,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5629692,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5629694,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5640111,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5640112,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5641231,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,MIXED_DIRECT_RBW_UNTIMED,False
5641232,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,ANALYTIC_WITH_COMPONENT_WARNING,DIRECT_ROWS_RBW_COUNT_UNKNOWN,False
5641233,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5646861,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5646862,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5652441,5,True,True,True,True,False,4,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5652442,5,True,True,True,True,False,4,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5652443,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5652444,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5652691,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5652692,5,True,True,True,True,False,4,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5652693,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5659321,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5662121,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5662122,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5677051,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5687951,2,False,False,True,True,False,1,0,False,TIME_COMPONENT_MISSING,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,False
5690471,5,True,True,True,True,False,4,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5690472,7,True,True,True,True,False,6,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5690473,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5690474,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5704081,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5704082,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5704083,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5704084,6,True,True,True,True,False,5,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5705821,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5705822,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5841361,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
5977561,5,True,True,True,True,False,4,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
10118761,6,True,True,True,True,False,5,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
10232021,5,True,True,True,False,False,4,1,False,INTER_TRIP_OVERLAP_OR_NEXTDAY_CONFLICT,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,False
10232022,1,True,True,True,True,False,0,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
10232023,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,MIXED_DIRECT_RBW_UNTIMED,False
10232024,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
10232025,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
10248631,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
10248632,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
10307411,9,True,True,True,True,False,8,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
10307412,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
10307413,5,True,True,True,True,False,4,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
10307414,5,True,True,True,True,False,4,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
10400821,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
10493521,6,True,True,True,True,False,5,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
10843011,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,MIXED_DIRECT_RBW_UNTIMED,False
10843012,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
11546492,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
11704201,7,True,True,True,True,False,6,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
11704202,6,True,True,True,True,False,5,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
11863961,5,True,True,True,True,False,4,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
11865951,6,True,True,True,True,False,5,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
12128811,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
12294221,8,True,True,True,True,False,7,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
12294222,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
12371661,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
12388611,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
12388612,5,True,True,True,True,False,4,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
12421632,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
12534001,4,True,True,True,True,False,3,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
12964961,2,True,True,True,True,False,1,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,DIRECT_REPORTED_CHAIN_COMPLETE,True
13005911,3,True,True,True,True,False,2,0,True,TEMPORAL_SEQUENCE_VALID,CORE_STRICT_COUNT,MIXED_DIRECT_RBW_UNTIMED,False
