HP_ID,H_ID,P_ID,W_ID,W_RBW,W_SZ,W_SZS,W_SZM,W_AZ,W_AZS,W_AZM,W_FOLGETAG,wegmin,start_time_valid,arrival_time_valid,departure_clock_minute,arrival_clock_minute,arrival_day_offset,arrival_absolute_minute,duration_from_clock_min,clock_duration_plausible,duration_exactly_matches_wegmin,temporal_row_status,W_GEW
15,0.0,15,1,0,7:30:00,7,30,7:50:00,7,50,0,20,True,True,450.0,470.0,0.0,470.0,20.0,True,True,DIRECT_TEMPORAL_VALID,6.23655163910742
15,0.0,15,2,0,14:30:00,14,30,14:45:00,14,45,0,15,True,True,870.0,885.0,0.0,885.0,15.0,True,True,DIRECT_TEMPORAL_VALID,6.23655163910742
15,0.0,15,3,0,17:00:00,17,0,19:00:00,19,0,0,120,True,True,1020.0,1140.0,0.0,1140.0,120.0,True,True,DIRECT_TEMPORAL_VALID,6.23655163910742
17,0.0,17,1,0,7:45:00,7,45,8:00:00,8,0,0,15,True,True,465.0,480.0,0.0,480.0,15.0,True,True,DIRECT_TEMPORAL_VALID,8.12825281470737
17,0.0,17,2,0,12:00:00,12,0,12:15:00,12,15,0,15,True,True,720.0,735.0,0.0,735.0,15.0,True,True,DIRECT_TEMPORAL_VALID,8.12825281470737
17,0.0,17,3,0,14:00:00,14,0,14:15:00,14,15,0,15,True,True,840.0,855.0,0.0,855.0,15.0,True,True,DIRECT_TEMPORAL_VALID,8.12825281470737
2632351,2632350.0,1,1,0,10:00:00,10,0,10:25:00,10,25,0,25,True,True,600.0,625.0,0.0,625.0,25.0,True,True,DIRECT_TEMPORAL_VALID,0.258884024197572
2632351,2632350.0,1,2,0,11:00:00,11,0,11:35:00,11,35,0,35,True,True,660.0,695.0,0.0,695.0,35.0,True,True,DIRECT_TEMPORAL_VALID,0.258884024197572
2632352,2632350.0,2,1,0,10:00:00,10,0,10:25:00,10,25,0,25,True,True,600.0,625.0,0.0,625.0,25.0,True,True,DIRECT_TEMPORAL_VALID,0.380305555604723
2632352,2632350.0,2,2,0,10:30:00,10,30,10:45:00,10,45,0,15,True,True,630.0,645.0,0.0,645.0,15.0,True,True,DIRECT_TEMPORAL_VALID,0.380305555604723
2632352,2632350.0,2,3,0,11:30:00,11,30,11:45:00,11,45,0,15,True,True,690.0,705.0,0.0,705.0,15.0,True,True,DIRECT_TEMPORAL_VALID,0.380305555604723
2945351,2945350.0,1,101,1, ,701,701, ,701,701,701,70701,False,False,,,,,,False,False,RBW_TIME_NOT_OBSERVED,2.02495534909998
2945351,2945350.0,1,102,1, ,701,701, ,701,701,701,70701,False,False,,,,,,False,False,RBW_TIME_NOT_OBSERVED,2.02495534909998
2945351,2945350.0,1,103,1, ,701,701, ,701,701,701,70701,False,False,,,,,,False,False,RBW_TIME_NOT_OBSERVED,2.02495534909998
2945351,2945350.0,1,104,1, ,701,701, ,701,701,701,70701,False,False,,,,,,False,False,RBW_TIME_NOT_OBSERVED,2.02495534909998
2945351,2945350.0,1,105,1, ,701,701, ,701,701,701,70701,False,False,,,,,,False,False,RBW_TIME_NOT_OBSERVED,2.02495534909998
3384741,3384740.0,1,1,0,10:30:00,10,30,10:50:00,10,50,0,20,True,True,630.0,650.0,0.0,650.0,20.0,True,True,DIRECT_TEMPORAL_VALID,2.77823211890327
3384741,3384740.0,1,2,0,11:30:00,11,30,11:50:00,11,50,0,20,True,True,690.0,710.0,0.0,710.0,20.0,True,True,DIRECT_TEMPORAL_VALID,2.77823211890327
3384741,3384740.0,1,3,0,13:00:00,13,0,13:25:00,13,25,0,25,True,True,780.0,805.0,0.0,805.0,25.0,True,True,DIRECT_TEMPORAL_VALID,2.77823211890327
3384741,3384740.0,1,4,0,15:10:00,15,10,15:35:00,15,35,0,25,True,True,910.0,935.0,0.0,935.0,25.0,True,True,DIRECT_TEMPORAL_VALID,2.77823211890327
3384741,3384740.0,1,5,0,16:30:00,16,30,19:40:00,19,40,0,190,True,True,990.0,1180.0,0.0,1180.0,190.0,True,True,DIRECT_TEMPORAL_VALID,2.77823211890327
3384741,3384740.0,1,6,0,19:40:00,19,40,20:15:00,20,15,0,35,True,True,1180.0,1215.0,0.0,1215.0,35.0,True,True,DIRECT_TEMPORAL_VALID,2.77823211890327
5013731,5013730.0,1,1,0,7:50:00,7,50,8:55:00,8,55,0,65,True,True,470.0,535.0,0.0,535.0,65.0,True,True,DIRECT_TEMPORAL_VALID,0.406936046476729
5013731,5013730.0,1,2,0,18:00:00,18,0,19:05:00,19,5,0,65,True,True,1080.0,1145.0,0.0,1145.0,65.0,True,True,DIRECT_TEMPORAL_VALID,0.406936046476729
5507551,5507550.0,1,1,0,7:45:00,7,45,8:00:00,8,0,0,15,True,True,465.0,480.0,0.0,480.0,15.0,True,True,DIRECT_TEMPORAL_VALID,3.37694658611149
