component,candidate_id,fit_objective,weight,cal_primary_metric,cal_guardrails
DG_PARTICIPATION,PART_REF,weighted empirical Bernoulli,P_GEW,WEIGHTED_BERNOULLI_LOG_LOSS,M2-PART-01;M2-COND-01
DG_PARTICIPATION,PART_A,weighted Bernoulli NLL + L2,P_GEW,WEIGHTED_BERNOULLI_LOG_LOSS,M2-PART-01;M2-COND-01
DG_PARTICIPATION,PART_B,weighted binary logloss,P_GEW,WEIGHTED_BERNOULLI_LOG_LOSS,M2-PART-01;M2-COND-01
DG_TRIP_COUNT,COUNT_REF,weighted positive-count PMF,P_GEW,WEIGHTED_DISCRETE_CRPS_ON_K,M2-COUNT-01;M2-COUNT-02;M2-CHAIN-01;M2-COND-02
DG_TRIP_COUNT,COUNT_A,weighted NB2 NLL on K-1,P_GEW,WEIGHTED_DISCRETE_CRPS_ON_K,M2-COUNT-01;M2-COUNT-02;M2-CHAIN-01;M2-COND-02
DG_TRIP_COUNT,COUNT_B,weighted empirical PMF,P_GEW,WEIGHTED_DISCRETE_CRPS_ON_K,M2-COUNT-01;M2-COUNT-02;M2-CHAIN-01;M2-COND-02
DG_ACTIVITY_CHAIN,CHAIN_REF,weighted first-order transition probability,W_GEW,WEIGHTED_NEXT_ACTIVITY_LOG_LOSS,M2-PURP-01;M2-TRANS-01;M2-RET-01
DG_ACTIVITY_CHAIN,CHAIN_A,weighted variable-order categorical loglikelihood,W_GEW,WEIGHTED_NEXT_ACTIVITY_LOG_LOSS,M2-PURP-01;M2-TRANS-01;M2-RET-01
DG_ACTIVITY_CHAIN,CHAIN_B,weighted multinomial cross-entropy + L2,W_GEW,WEIGHTED_NEXT_ACTIVITY_LOG_LOSS,M2-PURP-01;M2-TRANS-01;M2-RET-01
DG_TIME_SCHEDULE,TIME_REF,weighted empirical departure-time distribution,W_GEW,M2-TIME-01_TVD,TEMPORAL_INVARIANTS
DG_TIME_SCHEDULE,TIME_A,weighted empirical joint schedule kernel,W_GEW,M2-TIME-01_TVD,TEMPORAL_INVARIANTS;W1_MINUTES_REPORT_ONLY
DG_TIME_SCHEDULE,TIME_B,weighted multi-quantile pinball loss,W_GEW,M2-TIME-01_TVD,TEMPORAL_INVARIANTS;W1_MINUTES_REPORT_ONLY
DG_DISTANCE_PRIOR,DIST_REF,weighted raw-wegkm ECDF,W_GEW,M2-DIST-01_WASSERSTEIN_KM,MEAN;P50;P90;P95;M2-DIST-02_REPORT_ONLY
DG_DISTANCE_PRIOR,DIST_A,weighted conditional raw-wegkm ECDF,W_GEW,M2-DIST-01_WASSERSTEIN_KM,MEAN;P50;P90;P95;M2-DIST-02_REPORT_ONLY
DG_DISTANCE_PRIOR,DIST_B,weighted raw-wegkm multi-quantile pinball,W_GEW,M2-DIST-01_WASSERSTEIN_KM,MEAN;P50;P90;P95;M2-DIST-02_REPORT_ONLY
